"pop","gen","wing"
"Alice Springs","G2",3.99626282378822
"Alice Springs","G2",3.89637905652173
"Alice Springs","G2",3.8790867858891
"Alice Springs","G2",3.58801652890486
"Alice Springs","G2",3.77713475156236
"Alice Springs","G2",3.87642456757782
"Alice Springs","G2",4.0197603371834
"Alice Springs","G2",3.77140222538261
"Alice Springs","G2",3.82619982512979
"Alice Springs","G2",3.89844789618289
"Alice Springs","G2",3.88243512916379
"Alice Springs","G2",3.88925885146243
"Alice Springs","G2",3.80072559997631
"Alice Springs","G2",3.72872609047652
"Alice Springs","G2",3.78467009487535
"Alice Springs","G2",3.98000466475358
"Alice Springs","G2",3.6579106470716
"Alice Springs","G2",3.59653419429125
"Alice Springs","G11",3.72854958447513
"Alice Springs","G11",3.92649156656067
"Alice Springs","G11",3.92649156656067
"Alice Springs","G11",3.88927095742222
"Alice Springs","G11",3.75471373314727
"Alice Springs","G11",3.90369069169654
"Alice Springs","G11",3.84621832315432
"Alice Springs","G11",3.86412505727077
"Alice Springs","G11",3.90931713621262
"Alice Springs","G11",3.8367399738228
"Alice Springs","G11",3.90659748629274
"Alice Springs","G11",3.83158569190896
"Alice Springs","G11",3.7114101559316
"Alice Springs","G11",3.9244185291423
"Alice Springs","G11",3.78237870941754
"Alice Springs","G11",3.82957364096173
"Alice Springs","G11",3.82459179854411
"Alice Springs","G11",3.99024494738876
"Alice Springs","G11",3.81174609936309
"Alice Springs","G11",3.64171105607799
"Alice Springs","G11",3.87292066666178
"Alice Springs","G11",3.81072362510419
"Alice Springs","G11",3.81015953664637
"Alice Springs","G11",3.78832218444197
"Alice Springs","G11",3.77117410335235
"Alice Springs","G11",3.86649446470651
"Alice Springs","G11",3.86649446470651
"Alice Springs","G11",3.86649446470651
"Alice Springs","G11",3.86649446470651
"Bega Valley","G2",3.99997161818847
"Bega Valley","G2",3.81560036166834
"Bega Valley","G2",4.01593391098226
"Bega Valley","G2",4.13822114969616
"Bega Valley","G2",3.95421298840069
"Bega Valley","G2",3.75322798980088
"Bega Valley","G2",4.07644122614153
"Bega Valley","G2",3.82569446211948
"Bega Valley","G2",3.8559834770014
"Bega Valley","G2",4.04057590693906
"Bega Valley","G2",3.78677975017009
"Bega Valley","G2",3.77647672670814
"Bega Valley","G2",3.67324100462245
"Bega Valley","G2",3.84200359308656
"Bega Valley","G2",3.52825159669622
"Bega Valley","G2",3.80339906938417
"Bega Valley","G2",3.84879453645973
"Bega Valley","G2",3.9389099184379
"Bega Valley","G2",3.83298186430184
"Bega Valley","G2",3.96186760196972
"Bega Valley","G2",3.74394735228811
"Bega Valley","G2",3.83218260264548
"Bega Valley","G2",4.02998225141079
"Bega Valley","G2",3.68140269182749
"Bega Valley","G2",3.82258592345351
"Bega Valley","G2",3.72166744076224
"Bega Valley","G2",3.9076198653327
"Bega Valley","G2",3.76423611041038
"Bega Valley","G2",3.82862881926577
"Bega Valley","G2",3.91495872107697
"Bega Valley","G2",3.82258604369146
"Bega Valley","G2",3.83779555624192
"Bega Valley","G2",3.50233180349169
"Bega Valley","G2",4.18328688640313
"Batemans Bay","G2",3.50432455767309
"Batemans Bay","G2",4.04681532255524
"Batemans Bay","G2",3.831310058547
"Batemans Bay","G2",3.55976974789991
"Batemans Bay","G2",3.68700761474518
"Batemans Bay","G2",4.10526531582035
"Batemans Bay","G2",3.82278048567034
"Batemans Bay","G2",3.72891305989056
"Batemans Bay","G2",3.01101321894973
"Batemans Bay","G2",3.81424458782917
"Batemans Bay","G2",3.80455020635567
"Batemans Bay","G2",3.54838257789077
"Batemans Bay","G2",3.64258095840223
"Batemans Bay","G2",3.8144546030412
"Batemans Bay","G2",3.88021864418808
"Batemans Bay","G2",3.62930499284367
"Batemans Bay","G2",3.79296458739773
"Batemans Bay","G2",3.82773385216672
"Batemans Bay","G2",3.75407929837753
"Batemans Bay","G2",3.70706675517905
"Batemans Bay","G2",3.64932966794366
"Batemans Bay","G2",3.8177918936228
"Batemans Bay","G11",4.0153872378309
"Batemans Bay","G11",4.07249182133515
"Batemans Bay","G11",4.16043227320425
"Batemans Bay","G11",4.15598706207278
"Batemans Bay","G11",4.07174238951765
"Batemans Bay","G11",4.10105734283712
"Batemans Bay","G11",4.12245580726882
"Batemans Bay","G11",3.91383226560864
"Batemans Bay","G11",4.01205688315511
"Batemans Bay","G11",4.00712296203316
"Batemans Bay","G11",4.090092189653
"Batemans Bay","G11",3.86398868545079
"Batemans Bay","G11",4.10206976892249
"Batemans Bay","G11",3.87930813848929
"Batemans Bay","G11",3.98163490723677
"Batemans Bay","G11",4.11976552482546
"Batemans Bay","G11",4.15676660079433
"Batemans Bay","G11",4.02535287205365
"Batemans Bay","G11",4.27235307850606
"Batemans Bay","G11",3.92378735084133
"Batemans Bay","G11",4.01629286874337
"Batemans Bay","G11",3.89084738945588
"Batemans Bay","G11",3.9351408359354
"Batemans Bay","G11",4.01565257664065
"Batemans Bay","G11",3.93136420589027
"Batemans Bay","G11",4.09513504769296
"Batemans Bay","G11",4.00898443878443
"Batemans Bay","G11",4.01259190883713
"Batemans Bay","G11",4.0466755147992
"Batemans Bay","G11",4.163711765271
"Batemans Bay","G11",4.05562559616634
"Batemans Bay","G11",4.06169816360903
"Batemans Bay","G11",4.10142716728211
"Batemans Bay","G11",4.05361867443107
"Batemans Bay","G11",4.29302221746531
"Batemans Bay","G11",3.99522101911652
"Batemans Bay","G11",3.99822653749777
"Brisbane","G2",4.03372242661215
"Brisbane","G2",3.87642456029455
"Brisbane","G2",3.84666636458187
"Brisbane","G2",3.75019503538654
"Brisbane","G2",3.9571878383449
"Brisbane","G2",3.93881667623903
"Brisbane","G2",3.94598352913821
"Brisbane","G2",3.92046247084213
"Brisbane","G2",3.82372707953271
"Brisbane","G2",3.77484938127015
"Brisbane","G2",3.95502279331679
"Brisbane","G2",3.86056448924182
"Brisbane","G2",3.77003700732055
"Brisbane","G2",3.76765324295325
"Brisbane","G2",4.01139959202932
"Brisbane","G2",3.74396552665336
"Brisbane","G2",4.08053601073383
"Brisbane","G2",3.82493646521217
"Brisbane","G2",3.92140263835019
"Brisbane","G2",3.83015685069812
"Brisbane","G2",3.75690817122374
"Brisbane","G11",3.8029157875417
"Brisbane","G11",3.90590301682967
"Brisbane","G11",3.78318608764808
"Brisbane","G11",3.79583708351137
"Brisbane","G11",3.91472728595215
"Brisbane","G11",3.85028247561412
"Brisbane","G11",3.96686033356054
"Brisbane","G11",3.76242077204551
"Brisbane","G11",3.79401703346319
"Brisbane","G11",3.67719842924151
"Brisbane","G11",3.91848957040788
"Brisbane","G11",3.87253431216168
"Brisbane","G11",3.55943362256175
"Brisbane","G11",3.9080103403541
"Brisbane","G11",3.67253079044046
"Brisbane","G11",3.89811718889437
"Brisbane","G11",3.5494629310211
"Brisbane","G11",3.79627109749438
"Brisbane","G11",3.75311484880294
"Brisbane","G11",3.58582299636059
"Brisbane","G11",3.7069041132927
"Brisbane","G11",3.66268027159428
"Brisbane","G11",3.7005551508406
"Brisbane","G11",3.69968982811349
"Brisbane","G11",3.72876909870205
"Brisbane","G11",3.77281538912982
"Brisbane","G11",3.76787850871139
"Canberra","G2",3.88620574193475
"Canberra","G2",3.75383674218531
"Canberra","G2",3.38451977580765
"Canberra","G2",3.78615966578435
"Canberra","G2",3.8087040010898
"Canberra","G2",3.73252232479603
"Canberra","G2",3.68574866094715
"Canberra","G2",3.85147530002791
"Canberra","G2",3.83312109380335
"Canberra","G2",3.8244650912532
"Canberra","G2",3.90319613748243
"Canberra","G2",3.77615667293732
"Canberra","G2",3.90045679595851
"Canberra","G2",3.76747669644373
"Canberra","G2",3.81184056063769
"Canberra","G2",3.56996891136229
